symbol,asset_name,sector,industry,first_traded,index_inclusion
SKX,SKECHERS USA INC CLASS A,Consumer Cyclical,Footwear & Accessories,1999-06-09,
ROKU,ROKU INC CLASS A,Communication Services,Entertainment,2017-09-28,
PNFP,PINNACLE FINANCIAL PARTNERS INC,Financial Services,Banks - Regional,2000-08-22,
CR,CRANE,Industrials,Specialty Industrial Machinery,2023-03-29,
MEDP,MEDPACE HOLDINGS INC,Healthcare,Diagnostics & Research,2016-08-11,
CHE,CHEMED CORP,Healthcare,Medical Care Facilities,1973-05-03,
WTFC,WINTRUST FINANCIAL CORP,Financial Services,Banks - Regional,1998-04-16,
CHRD,CHORD ENERGY CORP,Energy,Oil & Gas E&P,2010-06-17,
NNN,NNN REIT INC,Real Estate,REIT - Retail,1984-10-09,
TPX,TEMPUR SEALY INTERNATIONAL INC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2003-12-18,
RVMD,REVOLUTION MEDICINES INC,Healthcare,Biotechnology,2020-02-13,
SMAR,SMARTSHEET INC CLASS A,Technology,Software - Application,2018-04-27,
BWA,BORGWARNER INC,Consumer Cyclical,Auto Parts,1993-08-13,2011-12-19
SSD,SIMPSON MANUFACTURING INC,Basic Materials,Lumber & Wood Production,1994-05-26,
APG,API GROUP CORP,Industrials,Engineering & Construction,2020-04-29,
LNTH,LANTHEUS HOLDINGS INC,Healthcare,Drug Manufacturers - Specialty & Generic,2015-06-25,
CFR,CULLEN FROST BANKERS INC,Financial Services,Banks - Regional,1980-03-17,
ZION,ZIONS BANCORPORATION,Financial Services,Banks - Regional,1980-03-17,
MTZ,MASTEC INC,Industrials,Engineering & Construction,1973-02-21,
SSB,SOUTHSTATE CORP,Financial Services,Banks - Regional,1997-01-28,
CART,MAPLEBEAR INC,Consumer Cyclical,Internet Retail,2023-09-19,
TREX,TREX INC,Industrials,Building Products & Equipment,1999-04-08,
BF-B,BROWN FORMAN CORP CLASS B,Consumer Defensive,Beverages - Wineries & Distilleries,1980-03-17,
SEIC,SEI INVESTMENTS,Financial Services,Asset Management,1981-03-25,
AAON,AAON INC,Industrials,Building Products & Equipment,1992-12-16,
ADC,AGREE REALTY REIT CORP,Real Estate,REIT - Retail,1994-04-15,
ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Defensive,Grocery Stores,2020-06-26,
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Consumer Cyclical,Personal Services,2013-01-25,
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,Aerospace & Defense,2011-03-22,2018-01-03
UFPI,UFP INDUSTRIES INC,Basic Materials,Lumber & Wood Production,1993-11-10,
AR,ANTERO RESOURCES CORP,Energy,Oil & Gas E&P,2013-10-10,
CBSH,COMMERCE BANCSHARES INC,Financial Services,Banks - Regional,1980-03-17,
VKTX,VIKING THERAPEUTICS INC,Healthcare,Biotechnology,2015-04-28,
RGEN,REPLIGEN CORP,Healthcare,Medical Instruments & Supplies,1986-04-29,
HQY,HEALTHEQUITY INC,Healthcare,Health Information Services,2014-07-31,
VNO,VORNADO REALTY TRUST REIT,Real Estate,REIT - Office,1980-03-17,
COLD,AMERICOLD REALTY INC TRUST,Real Estate,REIT - Industrial,2018-01-19,
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Technology,Information Technology Services,2013-09-16,
