symbol,asset_name,sector,industry,first_traded,index_inclusion
TILE,"Interface, Inc.",Industrials,Building Products & Equipment,1983-04-14,
BXC,BlueLinx Holdings Inc.,Industrials,Industrial Distribution,2004-12-14,
BDN,Brandywine Realty Trust,Real Estate,REIT—Office,1986-07-24,
DGII,Digi International Inc.,Technology,Communication Equipment,1989-10-06,
LMND,"Lemonade, Inc.",Financial Services,Insurance—Property & Casualty,2020-07-02,
IBRX,"ImmunityBio, Inc.",Healthcare,Biotechnology,2015-07-28,
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,2012-09-05,
RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,2020-04-27,
TRNS,"Transcat, Inc.",Industrials,Industrial Distribution,1977-12-05,
BRSP,"BrightSpire Capital, Inc.",Real Estate,REIT—Mortgage,2018-02-01,
BHRB,Burke & Herbert Financial Services Corp.,Financial Services,Banks—Regional,2003-10-07,
NTST,NETSTREIT Corp.,Real Estate,REIT—Retail,2020-08-13,
OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,1980-03-17,
AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,2010-07-22,
IDT,IDT Corporation,Communication Services,Telecom Services,2001-05-16,
CMRE,Costamare Inc.,Industrials,Marine Shipping,2010-11-04,
MXL,"MaxLinear, Inc.",Technology,Semiconductors,2010-03-24,
ORRF,"Orrstown Financial Services, Inc.",Financial Services,Banks—Regional,1999-05-13,
COUR,"Coursera, Inc.",Consumer Defensive,Education & Training Services,2021-03-31,
RVLV,"Revolve Group, Inc.",Consumer Cyclical,Internet Retail,2019-06-07,
IRON,"Disc Medicine, Inc.",Healthcare,Biotechnology,2020-08-12,
SRCE,1st Source Corporation,Financial Services,Banks—Regional,1983-08-12,
ALGT,Allegiant Travel Company,Industrials,Airlines,2006-12-08,
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,2020-12-18,
UUUU,Energy Fuels Inc.,Energy,Uranium,2007-03-19,
FSLY,"Fastly, Inc.",Technology,Software—Application,2019-05-17,
LOAR,Loar Holdings Inc.,Industrials,Aerospace & Defense,2024-04-25,
OEC,Orion S.A.,Basic Materials,Specialty Chemicals,2014-07-25,
PLYM,"Plymouth Industrial REIT, Inc.",Real Estate,REIT—Industrial,2017-06-09,
WTTR,"Select Water Solutions, Inc.",Energy,Oil & Gas Equipment & Services,2017-06-26,
CBL,"CBL & Associates Properties, Inc.",Real Estate,REIT—Retail,2021-11-02,
FIGS,"FIGS, Inc.",Consumer Cyclical,Apparel Manufacturing,2021-05-27,
HRMY,"Harmony Biosciences Holdings, Inc.",Healthcare,Biotechnology,2020-08-19,
LGF-B,Lions Gate Entertainment Corp.,Communication Services,Entertainment,2016-12-09,
MEG,"Montrose Environmental Group, Inc.",Industrials,Waste Management,2020-07-23,
DESP,"Despegar.com, Corp.",Consumer Cyclical,Travel Services,2017-09-20,
SEZL,Sezzle Inc.,Financial Services,Credit Services,2023-09-13,
ASAN,"Asana, Inc.",Technology,Software—Application,2020-09-30,
DFH,"Dream Finders Homes, Inc.",Consumer Cyclical,Residential Construction,2021-01-21,
PHR,"Phreesia, Inc.",Healthcare,Health Information Services,2019-07-18,
CDRE,"Cadre Holdings, Inc.",Industrials,Aerospace & Defense,2021-11-04,
CLB,Core Laboratories Inc.,Energy,Oil & Gas Equipment & Services,1995-09-21,
PRO,"PROS Holdings, Inc.",Technology,Software—Application,2007-07-26,
SHLS,"Shoals Technologies Group, Inc.",Technology,Solar,2021-01-28,
RWT,"Redwood Trust, Inc.",Real Estate,REIT—Mortgage,1995-08-04,
EFC,Ellington Financial Inc.,Real Estate,REIT—Mortgage,2010-10-08,
MNRO,"Monro, Inc.",Consumer Cyclical,Auto Parts,1991-07-30,
THR,"Thermon Group Holdings, Inc.",Industrials,Specialty Industrial Machinery,2011-05-05,
UTI,"Universal Technical Institute, Inc.",Consumer Defensive,Education & Training Services,2003-12-18,
BTSG,"BrightSpring Health Services, Inc.",Healthcare,Health Information Services,2024-01-26,
BV,"BrightView Holdings, Inc.",Industrials,Specialty Business Services,2018-06-28,
CRGX,"CARGO Therapeutics, Inc.",Healthcare,Biotechnology,2023-11-13,
MBUU,"Malibu Boats, Inc.",Consumer Cyclical,Recreational Vehicles,2014-01-31,
MDXG,"MiMedx Group, Inc.",Healthcare,Biotechnology,2008-02-12,
PGRE,"Paramount Group, Inc.",Real Estate,REIT—Office,2014-11-19,
CXM,"Sprinklr, Inc.",Technology,Software—Application,2021-06-23,
EMBC,Embecta Corp.,Healthcare,Medical Instruments & Supplies,2022-03-22,
LQDA,Liquidia Corporation,Healthcare,Biotechnology,2018-07-26,
NG,NovaGold Resources Inc.,Basic Materials,Gold,2003-12-04,
AVNS,"Avanos Medical, Inc.",Healthcare,Medical Devices,2014-10-21,
BSIG,BrightSphere Investment Group Inc.,Financial Services,Asset Management,2014-10-09,
CIFR,Cipher Mining Inc.,Financial Services,Capital Markets,2020-10-20,
CRMD,CorMedix Inc.,Healthcare,Biotechnology,2010-05-13,
HAYN,"Haynes International, Inc.",Industrials,Metal Fabrication,2007-03-21,
MCBS,"MetroCity Bankshares, Inc.",Financial Services,Banks—Regional,2019-09-05,
ASIX,AdvanSix Inc.,Basic Materials,Chemicals,2016-09-15,
BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,1989-11-22,
BJRI,"BJ's Restaurants, Inc.",Consumer Cyclical,Restaurants,1996-10-09,
BLND,"Blend Labs, Inc.",Technology,Software—Application,2021-07-16,
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,2013-10-31,
AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,1991-12-12,
CWEN-A,"Clearway Energy, Inc.",Utilities,Utilities—Renewable,2013-07-17,
HCSG,"Healthcare Services Group, Inc.",Healthcare,Medical Care Facilities,1983-11-29,
TREE,"LendingTree, Inc.",Financial Services,Financial Conglomerates,2008-08-12,
MRVI,"Maravai LifeSciences Holdings, Inc.",Healthcare,Biotechnology,2020-11-20,
TMP,Tompkins Financial Corporation,Financial Services,Banks—Regional,1986-06-02,
ARLO,"Arlo Technologies, Inc.",Industrials,Building Products & Equipment,2018-08-03,
AVBP,"ArriVent BioPharma, Inc.",Healthcare,Biotechnology,2024-01-26,
CPF,Central Pacific Financial Corp.,Financial Services,Banks—Regional,1987-08-28,
NABL,"N-able, Inc.",Technology,Information Technology Services,2021-07-19,
OBK,"Origin Bancorp, Inc.",Financial Services,Banks—Regional,2018-05-08,
PFC,Premier Financial Corp.,Financial Services,Banks—Regional,1993-07-20,
TGI,"Triumph Group, Inc.",Industrials,Aerospace & Defense,1996-10-25,
ATEN,"A10 Networks, Inc.",Technology,Software—Infrastructure,2014-03-21,
CWH,"Camping World Holdings, Inc.",Consumer Cyclical,Auto & Truck Dealerships,2016-10-07,
CTLP,"Cantaloupe, Inc.",Technology,Information Technology Services,1999-06-07,
MRTN,"Marten Transport, Ltd.",Industrials,Trucking,1986-09-25,
WNC,Wabash National Corporation,Industrials,Farm & Heavy Construction Machinery,1991-11-08,
EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,2018-02-07,
WSR,Whitestone REIT,Real Estate,REIT—Retail,2010-08-26,
MATV,"Mativ Holdings, Inc.",Basic Materials,Specialty Chemicals,1995-11-09,
